StudentId,School,Class Period,Condition,Consent,Lunch Status,ELL,American Indian or Alaskan Native,Asian or Pacific Islander,Black,Hispanic,White,Two or More Races,6th Grade MSP Reading,6th Grade MSP Math,Student-Teacher Ratio,Learning Gain,Pre_TestVersion,Pre_1.A,Pre_1.B,Pre_1.C,Pre_1.D,Pre_1.E,Pre_1.F,Pre_2.A,Pre_2.B,Pre_3.A,Pre_3.B,Pre_3.C,Pre_3.D,Pre_4,Pre_5.A,Pre_5.B,Pre_5.C,Pre_5.D,Pre_5.E,Pre_5.F,Pre_5.G,Pre_5.H,Pre_5.I,Pre_5.J,Pre_5.K,Pre_6.A,Pre_6.B,Pre_7.A,Pre_7.B,Pre_8.A,Pre_8.B,Pre_TotalScore,Submitted to Teacher,Post_TestVersion,Post_1.A,Post_1.B,Post_1.C,Post_1.D,Post_1.E,Post_1.F,Post_2.A,Post_2.B,Post_3.A,Post_3.B,Post_3.C,Post_3.D,Post_4,Post_5.A,Post_5.B,Post_5.C,Post_5.D,Post_5.E,Post_5.F,Post_5.G,Post_5.H,Post_5.I,Post_5.J,Post_5.K,Post_6.A,Post_6.B,Post_7.A,Post_7.B,Post_8.A,Post_8.B,Post_TotalScore,Submitted to teacher
192,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,13,A,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.133333333,B,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,17,0.566666667
193,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,3,B,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.166666667,A,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,8,0.266666667
195,Hamilton,2,tablet,NA,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,3,B,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,13,0.433333333,A,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,16,0.533333333
196,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,4,A,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.233333333,B,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.366666667
197,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,15,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,15,0.5
198,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,3,A,0,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.3,B,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,12,0.4
200,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,6,B,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0.3,A,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,0.5
201,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,2,B,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,13,0.433333333,A,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,15,0.5
202,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,0,A,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0.433333333,B,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0.433333333
204,Hamilton,2,tablet,y,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,13,B,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.333333333,A,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,23,0.766666667
