StudentId,School,Class Period,Condition,Consent,Lunch Status,ELL,American Indian or Alaskan Native,Asian or Pacific Islander,Black,Hispanic,White,Two or More Races,6th Grade MSP Reading,6th Grade MSP Math,Student-Teacher Ratio,Pre-Test,Post-Test,Learning Gain,Number of Assists,# EX Problems Completed,# AP problems completed,# AP Problems correct,mood_neutral,mood_down,mood_up,mood_q,attention_yes,attention_no,attention_idle,attention_q,attendance_present,attendance_missing,mood_neutral_attention_yes_attendance_present,mood_down_attention_yes_attendance_present,mood_up_attention_yes_attendance_present,mood_q_attention_yes_attendance_present
444,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,6,19,13.0,0,1958,495,487,95,1,2,7,89,4,4,8,99,6,87,0,2,0
445,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,15.5,25,9.5,0,2701,575,575,100,0,8,0,98,3,7,0,108,0,90,0,8,0
446,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,17,24,7.0,0,2496,498,494,92,15,2,0,94,8,6,1,109,0,85,8,1,0
447,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,12.5,25,12.5,3,2501,440,430,102,1,3,0,96,2,8,0,106,0,93,1,2,0
448,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,15.5,26,10.5,1,2789,530,524,99,3,5,0,98,1,8,0,107,0,91,3,4,0
449,TAFA,2,tablet,NA,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,7,10,3.0,8,1153,212,207,74,7,1,26,64,16,0,28,82,26,58,5,1,0
450,TAFA,2,tablet,NA,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,7,16,9.0,0,1485,282,267,100,7,1,0,93,8,6,1,108,0,88,4,1,0
451,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,4.5,10.5,6.0,4,1366,295,288,98,1,3,4,95,3,4,4,102,4,92,0,3,0
452,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,9,22,13.0,1,1634,332,317,104,0,1,1,97,4,4,1,106,0,97,0,0,0
454,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,14.5,22,7.5,0,2211,530,530,104,0,1,0,98,2,5,0,105,0,98,0,0,0
455,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,11.5,14,2.5,5,1369,339,294,99,6,0,0,92,10,3,0,105,0,91,1,0,0
456,TAFA,2,tablet,y,50.8,5.7,2.3,14.9,14.6,23.4,31.4,13.4,68.0,64.0,26.0,5,14.5,9.5,3,1067,220,212,94,8,3,0,91,13,1,0,105,0,86,4,1,0
