StudentId,School,Class Period,Condition,Consent,Lunch Status,ELL,American Indian or Alaskan Native,Asian or Pacific Islander,Black,Hispanic,White,Two or More Races,6th Grade MSP Reading,6th Grade MSP Math,Student-Teacher Ratio,Pre-Test,Post-Test,Learning Gain,Number of Assists,# EX Problems Completed,# AP problems completed,# AP Problems correct,mood_neutral,mood_down,mood_up,mood_q,attention_yes,attention_no,attention_idle,attention_q,attendance_present,attendance_missing,mood_neutral_attention_yes_attendance_present,mood_down_attention_yes_attendance_present,mood_up_attention_yes_attendance_present,mood_q_attention_yes_attendance_present
192,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,7,15,8.0,0,501,311,306,55,0,1,0,52,3,1,0,56,0,52,0,0,0
193,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,6,5,-1.0,3,194,253,241,56,0,0,0,55,0,1,0,56,0,55,0,0,0
195,Hamilton,2,tablet,NA,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,11,13,2.0,2,564,342,331,55,0,1,0,52,2,2,0,56,0,52,0,0,0
196,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,9,12,3.0,0,209,286,279,25,0,0,31,22,3,0,31,25,31,22,0,0,0
197,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,31,19,-12.0,4,347,266,262,53,0,3,0,45,10,1,0,56,0,45,0,0,0
198,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,3,11,8.0,5,393,303,298,54,0,2,0,52,3,1,0,56,0,51,0,1,0
200,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,4,14,10.0,0,569,320,316,54,0,2,0,48,6,2,0,56,0,46,0,2,0
201,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,8,16,8.0,1,756,315,313,50,0,5,1,44,9,2,1,55,1,43,0,1,0
202,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,5,15,10.0,2,346,238,236,53,0,3,0,50,6,0,0,56,0,49,0,1,0
204,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,10,16,6.0,3,462,303,297,49,0,7,0,45,11,0,0,56,0,42,0,3,0
206,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,9,21,12.0,2,502,292,288,55,0,0,1,42,11,2,1,55,1,42,0,0,0
207,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,7,7,0.0,0,400,297,289,56,0,0,0,50,6,0,0,56,0,50,0,0,0
208,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,13,17,4.0,0,520,273,273,53,0,3,0,51,3,2,0,56,0,50,0,1,0
210,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,17,16,-1.0,2,315,311,306,50,0,0,6,43,6,1,6,50,6,43,0,0,0
211,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,19,20,1.0,2,539,242,230,56,0,0,0,51,4,1,0,56,0,51,0,0,0
212,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,12,14,2.0,2,457,331,318,55,0,1,0,49,5,2,0,56,0,49,0,0,0
213,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,18,19,1.0,0,828,322,320,51,0,3,2,40,10,4,2,54,2,40,0,0,0
214,Hamilton,2,tablet,NA,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,3,8,5.0,0,422,290,284,54,2,0,0,51,3,2,0,56,0,50,1,0,0
215,Hamilton,2,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9.0,3,15,12.0,2,188,239,236,54,1,1,0,51,3,2,0,56,0,50,0,1,0
217,Hamilton,5,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12.0,0,15,15.0,2,350,232,220,64,3,12,0,54,21,1,3,79,0,54,0,0,0
218,Hamilton,5,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12.0,NA,16,NA,4,448,246,246,73,0,6,0,62,15,2,0,79,0,59,0,3,0
219,Hamilton,5,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12.0,1,10,9.0,6,355,139,133,76,0,3,0,73,5,1,0,79,0,73,0,0,0
220,Hamilton,5,tablet,NA,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12.0,5,12,7.0,2,302,239,232,78,0,0,1,72,3,3,1,79,0,72,0,0,0
222,Hamilton,5,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12.0,9,16,7.0,0,427,248,244,66,0,3,0,54,6,3,6,69,0,54,0,0,0
223,Hamilton,5,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12.0,13,18,5.0,1,483,281,268,79,0,0,1,53,14,12,1,80,0,53,0,0,0
224,Hamilton,5,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12.0,16,19,3.0,0,823,332,322,73,0,0,6,64,6,3,6,73,6,64,0,0,0
225,Hamilton,5,tablet,y,10.0,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,12.0,13,19,6.0,0,857,299,299,80,0,0,0,61,11,8,0,80,0,61,0,0,0
