StudentId,School,Class Period,Condition,Consent,Unit,Lunch Status,ELL,American Indian or Alaskan Native,Asian or Pacific Islander,Black,Hispanic,White,Two or More Races,6th Grade MSP Reading,6th Grade MSP Math,Student-Teacher Ratio,Pre-Test,Post-Test,Learning Gain,Number of Assists,# EX Problems Completed,# AP problems completed,# AP Problems correct,mood_neutral,mood_down,mood_up,mood_q,attention_yes,attention_no,attention_idle,attention_q,attendance_present,attendance_missing,mood_neutral_attention_yes_attendance_present,mood_down_attention_yes_attendance_present,mood_up_attention_yes_attendance_present,mood_q_attention_yes_attendance_present
192,Hamilton,2,tablet,y,2,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,4,17,13,2,67,359,355,11,1,0,0,7,2,3,0,12,0,6,1,0,0
193,Hamilton,2,tablet,y,2,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,5,8,3,2,34,226,214,11,0,1,0,9,1,2,0,12,0,8,0,1,0
195,Hamilton,2,tablet,NA,2,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,13,16,3,0,106,392,386,12,0,0,0,4,3,5,0,12,0,4,0,0,0
196,Hamilton,2,tablet,y,2,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,7,11,4,0,59,373,363,12,0,0,0,9,0,3,0,12,0,9,0,0,0
197,Hamilton,2,tablet,y,2,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,0,15,15,0,100,386,374,11,1,0,0,9,1,2,0,12,0,9,0,0,0
198,Hamilton,2,tablet,y,2,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,9,12,3,2,65,361,353,11,0,1,0,7,3,2,0,12,0,6,0,1,0
200,Hamilton,2,tablet,y,2,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,9,15,6,1,98,384,377,12,0,0,0,8,2,2,0,12,0,8,0,0,0
201,Hamilton,2,tablet,y,2,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,13,15,2,1,173,389,382,11,1,0,0,7,2,3,0,12,0,6,1,0,0
202,Hamilton,2,tablet,y,2,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,13,13,0,0,67,316,305,12,0,0,0,9,3,0,0,12,0,9,0,0,0
204,Hamilton,2,tablet,y,2,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,10,23,13,1,59,343,341,11,1,0,0,7,3,2,0,12,0,6,1,0,0
206,Hamilton,2,tablet,y,2,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,14,22,8,0,72,405,384,10,1,1,0,7,1,4,0,12,0,5,1,1,0
207,Hamilton,2,tablet,y,2,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,9,7,-2,0,71,317,305,1,0,0,11,1,0,0,11,1,11,1,0,0,0
208,Hamilton,2,tablet,y,2,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,NA,27,NA,0,31,248,242,12,0,0,0,10,0,2,0,12,0,10,0,0,0
210,Hamilton,2,tablet,y,2,10,1.9,0.4,10.8,2.3,7.1,72.1,7.3,90.4,88.2,9,6,15,9,3,96,387,375,12,0,0,0,9,2,1,0,12,0,9,0,0,0
