Question,Type,Unit,NumCorrectPre,NumIncorrectPre,NumCorrectPost,NumIncorrectPost
1a,A,2,35,92,5,55
1b,A,2,37,26,39,91
1c,A,2,26,3,21,31
1d,A,2,97,86,50,74
1e,A,2,18,87,71,16
1f,A,2,4,43,32,59
2a,A,2,63,91,66,32
2b,A,2,16,97,37,79
3a,A,2,70,68,41,53
3b,A,2,83,80,78,73
3c,A,2,84,65,98,66
3d,A,2,97,6,83,7
4,A,2,25,49,7,90
5,A,2,44,34,28,24
6,A,2,5,46,13,53
7a,A,2,96,74,78,53
7b,A,2,51,97,36,19
8,A,2,44,76,4,100
1a,B,2,30,51,40,11
1b,B,2,31,1,44,8
1c,B,2,30,48,61,49
1d,B,2,60,30,79,24
1e,B,2,77,20,55,16
1f,B,2,45,8,39,32
2a,B,2,77,63,62,40
2b,B,2,54,11,60,27
3a,B,2,97,15,70,96
3b,B,2,4,79,51,80
3c,B,2,5,51,7,73
3d,B,2,60,37,14,12
4,B,2,83,84,98,17
5,B,2,50,82,16,83
6,B,2,94,39,22,59
7a,B,2,48,95,81,47
7b,B,2,24,100,21,67
8,B,2,30,11,16,57
