Unit,Condition,Question,Pre Correct,Pre Incorrect,Post Correct,Post Incorrect
2,tablet,1.A,83,89,146,26
2,tablet,1.B,88,84,145,26
2,tablet,1.C,139,33,166,6
2,tablet,1.D,130,42,160,12
2,tablet,1.E,156,16,158,14
2,tablet,1.F,119,53,160,12
2,tablet,2.A,84,88,135,37
2,tablet,2.B,75,97,138,34
2,tablet,3.A,111,61,143,29
2,tablet,3.B,124,48,150,22
2,tablet,3.C,115,57,141,31
2,tablet,3.D,124,48,142,30
2,tablet,4,20,152,61,111
2,tablet,5.A,1,171,61,111
2,tablet,5.B,2,170,56,116
2,tablet,5.C,2,170,44,128
2,tablet,5.D,1,171,44,128
2,tablet,5.E,2,170,44,128
2,tablet,5.F,3,169,44,128
2,tablet,5.G,1,171,44,128
2,tablet,5.H,1,171,44,128
2,tablet,5.I,1,171,46,126
2,tablet,5.J,1,171,55,117
2,tablet,5.K,2,170,54,118
2,tablet,6.A,72,100,90,82
2,tablet,6.B,8,164,48,124
2,tablet,7.A,28,144,74,98
2,tablet,7.B,24,148,75,97
2,tablet,8.A,16,156,68,104
2,tablet,8.B,8,164,41,131
2,paper,1.A,51,41,75,17
2,paper,1.B,47,45,79,13
2,paper,1.C,84,8,87,5
2,paper,1.D,74,18,87,5
2,paper,1.E,83,9,88,4
2,paper,1.F,70,22,84,8
2,paper,2.A,55,37,77,15
2,paper,2.B,53,39,78,14
2,paper,3.A,64,28,83,9
2,paper,3.B,77,15,82,10
2,paper,3.C,66,26,80,12
2,paper,3.D,70,22,75,17
2,paper,4,19,73,38,54
2,paper,5.A,1,90,25,67
2,paper,5.B,2,90,24,68
2,paper,5.C,1,91,22,70
2,paper,5.D,1,91,22,70
2,paper,5.E,4,88,22,70
2,paper,5.F,1,91,22,70
2,paper,5.G,1,91,22,70
2,paper,5.H,1,91,21,71
2,paper,5.I,1,91,20,72
2,paper,5.J,1,91,20,72
2,paper,5.K,1,91,19,73
2,paper,6.A,36,56,42,50
2,paper,6.B,7,85,17,75
2,paper,7.A,31,61,46,46
2,paper,7.B,30,62,45,47
2,paper,8.A,22,70,40,52
2,paper,8.B,7,85,27,65
4,tablet,1.A,105,64,146,23
4,tablet,1.B,115,54,148,21
4,tablet,1.C,103,66,144,25
4,tablet,1.D,51,118,83,86
4,tablet,1.E,46,123,92,77
4,tablet,1.F,56,113,101,68
4,tablet,2.A,91,78,117,52
4,tablet,2.B,83,86,112,57
4,tablet,3.A,50,118,97,72
4,tablet,3.B,46,123,92,77
4,tablet,3.C,73,96,125,44
4,tablet,3.D,74,95,124,45
4,tablet,3.E,74,95,120,49
4,tablet,3.F,63,106,100,69
4,tablet,3.G,20,149,81,88
4,tablet,3.H,41,128,88,81
4,tablet,3.I,55,114,100,69
4,tablet,3.J,26,143,91,78
4,tablet,4.A,66,102,78,91
4,tablet,4.B,78,90,71,98
4,tablet,5.A,62,107,106,63
4,tablet,5.B,24,144,25,144
4,paper,1.A,58,32,77,13
4,paper,1.B,57,33,72,18
4,paper,1.C,57,33,81,9
4,paper,1.D,27,63,43,46
4,paper,1.E,25,65,49,41
4,paper,1.F,32,58,63,27
4,paper,2.A,42,47,68,22
4,paper,2.B,39,51,67,23
4,paper,3.A,21,69,52,38
4,paper,3.B,22,68,45,45
4,paper,3.C,45,45,64,26
4,paper,3.D,46,44,65,25
4,paper,3.E,45,45,65,25
4,paper,3.F,39,50,62,28
4,paper,3.G,12,78,45,45
4,paper,3.H,24,66,48,42
4,paper,3.I,27,63,52,38
4,paper,3.J,21,69,42,48
4,paper,4.A,44,46,59,31
4,paper,4.B,45,45,52,38
4,paper,5.A,42,48,54,36
4,paper,5.B,17,73,30,60
